MainIsland,Region,Province,LegislativeDistrict,Municipality,DistrictEngineeringOffice,ProjectId,TypeOfWork,FundingYear,ContractId, ApprovedBudgetFor , ContractCost ,ActualCompletionDate,Contractor1,Contractor2,Contractor3,ContractorCount,StartDate,ProvincialCapital
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),,Apayao 2nd District Engineering Office,P00526268LZ,Construction of Flood Mitigation Structure,2021,21PC0018," ?96,500,000.00 "," ?92,692,943.80 ",10/3/2022,Asc Construction & Concrete Products,,,1,3/18/2021,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),,Apayao 2nd District Engineering Office,P00526368LZ,Construction of Flood Mitigation Structure,2021,21PC0019," ?49,000,000.00 "," ?47,521,251.30 ",11/24/2022,Asc Construction & Concrete Products,,,1,12/1/2021,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),,Apayao 2nd District Engineering Office,P00526369LZ,Construction of Flood Mitigation Structure,2021,21PC0010," ?47,423,180.00 "," ?45,942,583.67 ",11/28/2022,Asc Construction & Concrete Products,,,1,12/1/2021,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),,Apayao 2nd District Engineering Office,P00561270LZ,Construction of Flood Mitigation Structure,2021,21PC0067," ?9,900,000.00 "," ?9,900,000.00 ",12/15/2022,Asc Construction & Concrete Products,,,1,12/1/2021,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),,Apayao 2nd District Engineering Office,P00561652LZ,Construction of Flood Mitigation Structure,2021,21PC0034," ?4,950,000.00 "," ?4,950,000.00 ",9/23/2022,Alephnorth Peak Construction And Development Co.,,,1,12/1/2021,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),,Apayao 1st District Engineering Office,P00526367LZ,Construction of Flood Mitigation Structure,2021,21PB0004," ?39,199,819.73 "," ?38,292,917.46 ",9/24/2022,Asc Construction & Concrete Products,,,1,12/2/2021,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),,Apayao 1st District Engineering Office,P00526270LZ,Construction of Flood Mitigation Structure,2021,21PB0013," ?82,914,680.00 "," ?80,309,010.27 ",4/14/2023,Asc Construction & Concrete Products,,,1,12/22/2021,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Apayao (Legislative District),Apayao 1st District Engineering Office,P00620988LZ,Construction of Flood Mitigation Structure,2022,22PB0005," ?23,519,997.48 "," ?22,928,490.31 ",11/2/2022,Prime Master Const. And Dev'T. Corp.,,,1,2/9/2022,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Conner (Apayao),Apayao 1st District Engineering Office,P00620472LZ,Construction of Flood Mitigation Structure,2022,22PB0004," ?15,678,924.68 "," ?15,680,000.00 ",12/22/2022,Bahramley Construction,,,1,3/1/2022,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Conner (Apayao),Apayao 1st District Engineering Office,P00620136LZ,Construction of Flood Mitigation Structure,2022,22PB0010," ?51,761,907.66 "," ?51,762,600.00 ",5/30/2023,Asc Construction & Concrete Products,,,1,4/4/2022,Kabugao
